Tunnel length [m];Tunnel width [m];Tunnel height [m];Hydrauric diameter;T [K];Qdot [Kw];Critical velocity [m/s];;;;;;;;;
15;0.136;0.25;0.176165803;293;4.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;5.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;6.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;7.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;8.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;9.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;10.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;11.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;12.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;13.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;14.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;15.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;16.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;17.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;18.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;19.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;20;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;20.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;20.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;20.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;20.2;0.525573952;;;;;;;;;
